process_id;entidad;objeto;fecha;pliego_file;especificaciones_file
VPN-EMASEO-EP-2026-002 ;EMPRESA PUBLICA METROPOLITANA DE ASEO;ADQUISICIÓN DE CAMIONES CON SISTEMA DE HIDROLAVADO PARA LA EMASEO EP;29/4/26 12:30;VPN-EMASEO-EP-2026-002_PLIEGO.pdf;VPN-EMASEO-EP-2026-002_ESPECIFICACIONES.pdf
SIE-EMASEO-EP-2026-006 ;EMPRESA PUBLICA METROPOLITANA DE ASEO;ADQUISICION DE BATERIAS PARA EL MANTENIMIENTO DE LA FLOTA DE LA EMPRESA PUBLICA METROPOLITANA DE ASEO;29/4/26 20:00;SIE-EMASEO-EP-2026-006_PLIEGO.pdf;SIE-EMASEO-EP-2026-006_ESPECIFICACIONES.pdf
SIE-EMASEO-EP-2026-005 ;EMPRESA PUBLICA METROPOLITANA DE ASEO;ADQUISICIÓN PARA LA RENOVACIÓN DE CONTENEDORES EN EL DMQ;20/4/26 20:00;SIE-EMASEO-EP-2026-005_PLIEGO.pdf;SIE-EMASEO-EP-2026-005_ESPECIFICACIONES.pdf
SIE-EMASEO-EP-2025-036 ;EMPRESA PUBLICA METROPOLITANA DE ASEO;ADQUISICIÓN DE BARREDORAS A PROPULSIÓN MANUAL (TRACCIÓN HUMANA);23/12/25 12:00;SIE-EMASEO-EP-2025-036_PLIEGO.pdf;SIE-EMASEO-EP-2025-036_ESPECIFICACIONES.pdf
LICB-EMASEO-EP-2025-001 ;EMPRESA PUBLICA METROPOLITANA DE ASEO;ADQUISICIÓN DE DIEZ CAMIONES CARGA POSTERIOR PARA LA EMASEO EP- BDE II;22/12/25 20:00;LICB-EMASEO-EP-2025-001_PLIEGO.pdf;LICB-EMASEO-EP-2025-001_ESPECIFICACIONES.pdf
LICO-EMASEO-EP-2026-001;EMPRESA PUBLICA METROPOLITANA DE ASEO;"ADQUISICION DE CAMIONES RECOLECTORES DE BASURA DE CARGA LATERAL	";14/4/26 20:00;LICO-EMASEO-EP-2026-001_PLIEGO.pdf;LICO-EMASEO-EP-2026-001_ESPECIFICACIONES.pdf
LICB-EMASEO-EP-2026-001;EMPRESA PUBLICA METROPOLITANA DE ASEO;"Construcción, ampliación y readecuación de Centros Logísticos de la EMASEO EP	";##########;LICB-EMASEO-EP-2026-001_PLIEGO.pdf;LICB-EMASEO-EP-2026-001_ESPECIFICACIONES.pdf
SIE-HTMC-2026-033;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;ADQUISICIÓN DE DISPOSITIVOS MÉDICOS PINZAS PARA CIRUGÍA CONVENCIONAL PARA LAS UNIDADES DE CIRUGÍA GENERAL Y GINECOLOGÍA;##########;SIE-HTMC-2026-033_PLIEGO.pdf;SIE-HTMC-2026-033_ESPECIFICACIONES.pdf
SIE-HTMC-2026-040;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;ADQUISICIÓN DE GENERADOR ULTRASÓNICO Y INSTRUMENTOS DE DISECCIÓN PARA LAS UNIDADES TÉCNICAS DE CIRUGIA GENERAL, CIRUGIA ONCOLOGICA, COLOPROCTOLOGIA Y GINECOLOGIA DEL HETMC;##########;SIE-HTMC-2026-040_PLIEGO.pdf;SIE-HTMC-2026-040_ESPECIFICACIONES.pdf
SIE-HTMC-2026-041;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;ADQUISICIÓN DE DISPOSITIVOS MÉDICOS PARA MANEJO AVANZADO DE HERIDAS GEL Y APÓSITOS PARA LA UNIDAD TECNICA DE CIRUGÍA GENERAL DEL HETMCADQUISICIÓN DE DISPOSITIVOS MÉDICOS PARA MANEJO AVANZADO DE HERIDAS GEL Y APÓSITOS PARA LA UNIDAD TECNICA DE CIRUGÍA GENERAL DEL HETMC;##########;SIE-HTMC-2026-041_PLIEGO.pdf;SIE-HTMC-2026-041_ESPECIFICACIONES.pdf
SIE-HTMC-2026-045;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;ADQUISICIÓN DE 23.625 COMPRIMIDOS DE RIBOCICLIB SOLIDO ORAL 200 MG A FAVOR DE 25 PACIENTES, CON MEDIDA CAUTELAR, APROBADO POR EL ENTE REGULADOR Y APROBACIÓN DE COTIEM DEL IESS PARA UNIDAD TÉCNICA DE ONCOLOGÍA;##########;SIE-HTMC-2026-045_PLIEGO.pdf;SIE-HTMC-2026-045_ESPECIFICACIONES.pdf
SIE-HTMC-2026-011;HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO;"ADQUISICIÓN DE MEDICAMENTO: (IOPAMIDOL (S.Y.N.I.) LQ.PAR. 300 MG DE YODO/ML X 100 ML); IOPAMIDOL (S.Y.N.I.) LQ.PAR. 370 MG DE YODO/ML X 100 ML) PARA LA UNIDAD TÉCNICA DE IMAGENOLOGIA";##########;SIE-HTMC-2026-011_PLIEGO.pdf;SIE-HTMC-2026-011_ESPECIFICACIONES.pdf
